district_code,district_name,gram_panchayat_code,gram_panchayat_name,parent_kp_code
178,Sant Kabir Nagar,86207,Khazuri,2090
182,Siddharthnagar,88620,Kheerideeha,2127
164,Mahrajganj,76513,Khem Pipra,1930
179,Bhadohi,86488,Khemaipur,2094
179,Bhadohi,86595,Khemapur N. Dihuparwar,2095
129,Bara Banki,52247,Khemapur Vastauli,1534
129,Bara Banki,268674,Khemipur,1540
659,Sambhal,297282,Khempur,1994
659,Sambhal,297364,Kherafattehpur,1589
160,Kushinagar,74766,Kheratia,1901
659,Sambhal,297345,Kheriya Rudra,1589
160,Kushinagar,74356,Khesari Gidha,1895
160,Kushinagar,74978,Khesia,1904
164,Mahrajganj,76776,Khesraha Sitlapur,1933
129,Bara Banki,52248,Kheta Saray,1534
182,Siddharthnagar,88391,Khetawal Misra,2124
182,Siddharthnagar,88392,Khetawal Tiwari,2124
129,Bara Banki,51788,Khewali,1528
129,Bara Banki,52193,Khinjhana,1533
659,Sambhal,297367,Khirakwari Tappa Vaishya,1589
160,Kushinagar,74092,Khiriya,1891
129,Bara Banki,51789,Khizirpur Inayatpur,1528
147,Gonda,297431,Khokhiya,1750
164,Mahrajganj,76747,Khonhouli,1933
160,Kushinagar,74829,Khotaha,1902
160,Kushinagar,74907,Khudra-Ahirauli,1903
160,Kushinagar,74767,Khudura,1901
164,Mahrajganj,77017,Khuduri,1937
129,Bara Banki,52196,Khujjhi,1533
182,Siddharthnagar,273986,Khurpahava,2120
129,Bara Banki,267474,Khusehati,1525
129,Bara Banki,52675,Khwajapur,1540
129,Bara Banki,51704,Kila Belhaari,1527
129,Bara Banki,52307,Kinhauli,1535
160,Kushinagar,271264,Kinner Patti,1904
129,Bara Banki,52531,Kintur,1538
181,Shrawasti,87608,Kirihauna,2113
160,Kushinagar,74160,Kishun Das Patti,1892
179,Bhadohi,86596,Kishun Deopur,2095
129,Bara Banki,52532,Kishundas Pur,1538
147,Gonda,297466,Kishundaspur,1743
164,Mahrajganj,76748,Kishunpur,1933
181,Shrawasti,87739,Kishunpur Chorwabhari,2115
178,Sant Kabir Nagar,85792,Kithiuri,2084
129,Bara Banki,51601,Kitthaiya,1525
129,Bara Banki,51603,Kitthuree,1525
178,Sant Kabir Nagar,271155,Kodaincha,2085
160,Kushinagar,271150,Kodara,1897
178,Sant Kabir Nagar,86088,Kodara Bhual Patti,2088
182,Siddharthnagar,273877,Kodarikhas,2118
182,Siddharthnagar,88705,Kodraon Nankar,2128
129,Bara Banki,51791,Kodri,1528
129,Bara Banki,52194,Kodri Gopalpur,1533
178,Sant Kabir Nagar,86089,Kodwat,2088
178,Sant Kabir Nagar,269446,Koelasa,2091
182,Siddharthnagar,88393,Koelighat,2124
164,Mahrajganj,76661,Kohadwal,1932
164,Mahrajganj,76662,Kohargaddi,1932
164,Mahrajganj,76576,Koharval,1931
160,Kushinagar,74629,Koharwalia,1899
178,Sant Kabir Nagar,86149,Kohlawa,2089
178,Sant Kabir Nagar,86208,Koil Bhar,2090
164,Mahrajganj,76338,Koiladar,1927
179,Bhadohi,86388,Koilara,2093
160,Kushinagar,74161,Koilaswa Buzurg,1892
160,Kushinagar,271447,Koindha,1901
160,Kushinagar,74768,Koindibariyarpur,1901
129,Bara Banki,52012,Kola Gahbadhi,1531
179,Bhadohi,86489,Kolahd,2094
129,Bara Banki,52676,Kolhada,1540
178,Sant Kabir Nagar,86090,Kolhu Garha,2088
178,Sant Kabir Nagar,85937,Kolhua,2086
160,Kushinagar,268266,Kolhua,1895
178,Sant Kabir Nagar,85725,Kolhua Lakra,2083
164,Mahrajganj,76302,Kolhuee,1926
182,Siddharthnagar,88706,Kolhui,2128
182,Siddharthnagar,273916,Kolhui Bujurg,2118
178,Sant Kabir Nagar,85793,Kolki Chamarsan,2084
129,Bara Banki,51950,Kolwa,1530
179,Bhadohi,86490,Kom,2094
129,Bara Banki,51790,Kona Gaon,1528
181,Shrawasti,87610,Kondri Digar,2113
659,Sambhal,297334,Koobri Bhoor,1586
129,Bara Banki,52467,Kopwa,1537
160,Kushinagar,74094,Korya,1891
160,Kushinagar,271475,Korya Bhelhi,1903
164,Mahrajganj,76446,Kot Kamarahiya,1929
181,Shrawasti,87685,Kot Mubaraqpur,2114
164,Mahrajganj,76515,Kota Mukund Pur,1930
164,Mahrajganj,76883,Kotava,1935
129,Bara Banki,52468,Kothi,1537
179,Bhadohi,267530,Kothra,2093
182,Siddharthnagar,88826,Kotiya Degar,2130
160,Kushinagar,271305,Kotwa,1901
129,Bara Banki,51723,Kotwa Dham,1527
129,Bara Banki,51792,Kotwa Kala,1528
129,Bara Banki,51602,Kotwa Sadak,1525
181,Shrawasti,268862,Kshiyapur,2114
164,Mahrajganj,76822,Kuachhap,1934
129,Bara Banki,51874,Kuan Danda,1529
160,Kushinagar,74095,Kubera Patti,1891
178,Sant Kabir Nagar,86150,Kudawa,2089
182,Siddharthnagar,88227,Kudi,2122
182,Siddharthnagar,88875,Kudiya,2131
182,Siddharthnagar,88469,Kudja,2125
129,Bara Banki,51951,Kudwa,1530
160,Kushinagar,271168,Kuia,1898
164,Mahrajganj,76577,Kuiya Kanchanpur,1931
164,Mahrajganj,76578,Kuiya Urf Maheshpur,1931
164,Mahrajganj,77019,Kuiyan,1937
178,Sant Kabir Nagar,85795,Kulhadia,2084
179,Bhadohi,86598,Kulmanpur,2095
129,Bara Banki,269767,Kumhraura,1526
129,Bara Banki,52309,Kumhrawan,1535
129,Bara Banki,269269,Kumrhawan,1537
178,Sant Kabir Nagar,86015,Kundawa,2087
179,Bhadohi,86599,Kundi Kala Uparwar,2095
179,Bhadohi,86600,Kundi Khurd Uparwar,2095
160,Kushinagar,74358,Kundwa Urf Dilipnagar,1895
164,Mahrajganj,268036,Kunwarisati,1933
129,Bara Banki,51663,Kurauli,1526
179,Bhadohi,86389,Kurauna,2093
129,Bara Banki,267463,Kurha,1534
178,Sant Kabir Nagar,85726,Kuriyapar Belahasa,2083
129,Bara Banki,51793,Kurkhila,1528
160,Kushinagar,74980,Kurmaul Urf Sohanpur,1904
160,Kushinagar,74227,Kurmauta,1893
129,Bara Banki,52197,Kursi,1533
178,Sant Kabir Nagar,86283,Kurthia,2091
181,Shrawasti,268831,Kurveni,2114
179,Bhadohi,86682,Kusauli,2096
178,Sant Kabir Nagar,86016,Kusauna Kalan,2087
182,Siddharthnagar,88775,Kush Bhawana,2129
178,Sant Kabir Nagar,268731,Kushamaha Mafi,2084
129,Bara Banki,51724,Kushfer,1527
164,Mahrajganj,76303,Kushha,1926
178,Sant Kabir Nagar,86284,Kushmaini,2091
160,Kushinagar,74830,Kusumha,1902
164,Mahrajganj,76885,Kusumha,1935
182,Siddharthnagar,88394,Kusumhi,2124
129,Bara Banki,268686,Kutalupur,1539
129,Bara Banki,51875,Kutbapur,1529
129,Bara Banki,51876,Kutlupur,1529
129,Bara Banki,269639,Kutubapur,1537
129,Bara Banki,51721,Kyampur,1527
129,Bara Banki,268079,Kyontali,1539
164,Mahrajganj,268570,Labdaha,1926
160,Kushinagar,74910,Lachhia Deoria,1903
129,Bara Banki,52013,Lachhmanpur,1531
659,Sambhal,297226,Ladhanpur Shehbazpur,2004
179,Bhadohi,86782,Lagan Bari,2097
129,Bara Banki,52677,Lahi,1540
178,Sant Kabir Nagar,85864,Lahurey Gaon,2085
147,Gonda,297347,Laibudwa,1748
129,Bara Banki,52311,Lain,1535
129,Bara Banki,51604,Lakadiya,1525
129,Bara Banki,268080,Lakaunda,1539
164,Mahrajganj,268638,Lakchmipur Court,1937
182,Siddharthnagar,88621,Lakda,2127
181,Shrawasti,87741,Lakhahi Beninagar,2115
129,Bara Banki,51664,Lakhaicha,1526
179,Bhadohi,86684,Lakhano,2096
659,Sambhal,297204,Lakhanpur,2004
129,Bara Banki,52678,Lakhaura,1540
164,Mahrajganj,76886,Lakhima,1935
164,Mahrajganj,76517,Lakhima Tharua,1930
181,Shrawasti,87686,Lakhna,2114
178,Sant Kabir Nagar,269747,Lakhnapar,2088
179,Bhadohi,267452,Lakshapur,2094
129,Bara Banki,52065,Lakshbar Bajaha,1532
129,Bara Banki,52679,Lakshman Garh,1540
164,Mahrajganj,76382,Lakshmipur Shivala,1928
181,Shrawasti,87811,Lal Bojha Darvesh Gaon,2116
181,Shrawasti,87612,Lal Bojhi,2113
181,Shrawasti,87613,Lal Pur Khadra,2113
147,Gonda,297460,Lalakpur,1743
129,Bara Banki,273264,Lalapur,1529
181,Shrawasti,268882,Lalbhojha,2116
129,Bara Banki,51725,Lalganj,1527
160,Kushinagar,74228,Lalipar,1893
164,Mahrajganj,76304,Lalpur,1926
147,Gonda,297199,Lalpur Chandrabhan,1741
659,Sambhal,297160,Lalpur Chenchari,1996
129,Bara Banki,51726,Lalpur Gumaan,1527
181,Shrawasti,87742,Lalpur Mahri,2115
129,Bara Banki,51605,Lalpur Rajpur,1525
659,Sambhal,297208,Lalpur Titree,2004
129,Bara Banki,268676,Lalupur,1535
181,Shrawasti,87687,Langri Gular,2114
179,Bhadohi,86392,Lasmariya,2093
182,Siddharthnagar,88555,Latera,2126
659,Sambhal,297351,Latifpur Dheer,1589
182,Siddharthnagar,88232,Latiya,2122
160,Kushinagar,271634,Latwajit,1903
