district_code,district_name,gram_panchayat_code,gram_panchayat_name,parent_kp_code
160,Kushinagar,74834,Math Surajgir,1902
164,Mahrajganj,76456,Mathaia Iddu,1929
160,Kushinagar,74538,Mathia Alam,1898
160,Kushinagar,74100,Mathia Bhakariya,1891
160,Kushinagar,74539,Mathia Dheer,1898
160,Kushinagar,271808,Mathia Khurd,1899
160,Kushinagar,74365,Mathia Madhopur,1895
160,Kushinagar,271782,Mathia Naraepur,1899
160,Kushinagar,74986,Mathia Prasiddh Tiwari,1904
160,Kushinagar,74770,Mathia Shri Ram,1901
178,Sant Kabir Nagar,85803,Mathiapar,2084
160,Kushinagar,74540,Mathiya Khurd,1898
160,Kushinagar,74480,Mathiya Urf Akataha,1897
181,Shrawasti,269803,Mathkhanwa,2115
164,Mahrajganj,77024,Mathniya,1937
129,Bara Banki,51730,Mathura Nagar,1527
129,Bara Banki,51668,Mati,1526
182,Siddharthnagar,88022,Matiyar Urf Bhutahwa,2119
164,Mahrajganj,77025,Matiyariyan,1937
164,Mahrajganj,76388,Matkopa,1928
