block_code,block_name,district_code,tehsil_code,tehsil_name,resolution,source
869,Bilariyaganj,123,965,Sagri,derived_village,village_gram_panchayat_mapping.csv
870,Haraiya,123,965,Sagri,derived_village,village_gram_panchayat_mapping.csv
871,Jahanaganj,123,966,Azamgarh,derived_village,village_gram_panchayat_mapping.csv
872,Koilsa,123,964,Burhanpur,derived_village,village_gram_panchayat_mapping.csv
873,Lalganj,123,969,Lalganj,derived_village,village_gram_panchayat_mapping.csv
874,Mahrajganj,123,965,Sagri,derived_village,village_gram_panchayat_mapping.csv
875,Martinganj,123,968,Phulpur,derived_village,village_gram_panchayat_mapping.csv
875,Martinganj,123,6165,Martinganjon,derived_village,village_gram_panchayat_mapping.csv
876,Mehnagar,123,970,Mehnagar,derived_village,village_gram_panchayat_mapping.csv
877,Mirzapur,123,967,Nizamabad,derived_village,village_gram_panchayat_mapping.csv
878,Mohammadpur,123,967,Nizamabad,derived_village,village_gram_panchayat_mapping.csv
878,Mohammadpur,123,970,Mehnagar,derived_village,village_gram_panchayat_mapping.csv
878,Mohammadpur,123,6165,Martinganjon,derived_village,village_gram_panchayat_mapping.csv
879,Palhana,123,969,Lalganj,derived_village,village_gram_panchayat_mapping.csv
879,Palhana,123,970,Mehnagar,derived_village,village_gram_panchayat_mapping.csv
880,Palhani,123,966,Azamgarh,derived_village,village_gram_panchayat_mapping.csv
880,Palhani,123,967,Nizamabad,derived_village,village_gram_panchayat_mapping.csv
881,Pawai,123,968,Phulpur,derived_village,village_gram_panchayat_mapping.csv
881,Pawai,123,6165,Martinganjon,derived_village,village_gram_panchayat_mapping.csv
882,Phulpur,123,968,Phulpur,derived_village,village_gram_panchayat_mapping.csv
882,Phulpur,123,6165,Martinganjon,derived_village,village_gram_panchayat_mapping.csv
883,Rani Ki Sarai,123,966,Azamgarh,derived_village,village_gram_panchayat_mapping.csv
883,Rani Ki Sarai,123,967,Nizamabad,derived_village,village_gram_panchayat_mapping.csv
884,Sathiyaon,123,966,Azamgarh,derived_village,village_gram_panchayat_mapping.csv
885,Tahbarpur,123,966,Azamgarh,derived_village,village_gram_panchayat_mapping.csv
885,Tahbarpur,123,967,Nizamabad,derived_village,village_gram_panchayat_mapping.csv
886,Tarwa,123,969,Lalganj,derived_village,village_gram_panchayat_mapping.csv
886,Tarwa,123,970,Mehnagar,derived_village,village_gram_panchayat_mapping.csv
887,Thekma,123,969,Lalganj,derived_village,village_gram_panchayat_mapping.csv
887,Thekma,123,6165,Martinganjon,derived_village,village_gram_panchayat_mapping.csv
888,Baghpat,124,736,Baghpat,derived_village,village_gram_panchayat_mapping.csv
889,Baraut,124,735,Baraut,derived_village,village_gram_panchayat_mapping.csv
890,Binauli,124,735,Baraut,derived_village,village_gram_panchayat_mapping.csv
891,Chhaprauli,124,735,Baraut,derived_village,village_gram_panchayat_mapping.csv
892,Khekra,124,737,Khekada,derived_village,village_gram_panchayat_mapping.csv
893,Pilana,124,736,Baghpat,derived_village,village_gram_panchayat_mapping.csv
894,Balaha,125,919,Nanpara,derived_village,village_gram_panchayat_mapping.csv
894,Balaha,125,6862,Mihinpurwa Motipur,derived_village,village_gram_panchayat_mapping.csv
895,Chitaura,125,921,Bahraich,derived_village,village_gram_panchayat_mapping.csv
895,Chitaura,125,6861,Payagpur,derived_village,village_gram_panchayat_mapping.csv
896,Huzoorpur,125,921,Bahraich,derived_village,village_gram_panchayat_mapping.csv
896,Huzoorpur,125,922,Kaiserganj,derived_village,village_gram_panchayat_mapping.csv
896,Huzoorpur,125,6861,Payagpur,derived_village,village_gram_panchayat_mapping.csv
897,Jarwal,125,922,Kaiserganj,derived_village,village_gram_panchayat_mapping.csv
898,Kaisarganj,125,922,Kaiserganj,derived_village,village_gram_panchayat_mapping.csv
899,Mahasi,125,920,Mahasi,derived_village,village_gram_panchayat_mapping.csv
900,Mihinpurwa,125,919,Nanpara,derived_village,village_gram_panchayat_mapping.csv
900,Mihinpurwa,125,921,Bahraich,derived_village,village_gram_panchayat_mapping.csv
900,Mihinpurwa,125,6862,Mihinpurwa Motipur,derived_village,village_gram_panchayat_mapping.csv
901,Nawabganj,125,919,Nanpara,derived_village,village_gram_panchayat_mapping.csv
901,Nawabganj,125,921,Bahraich,derived_village,village_gram_panchayat_mapping.csv
901,Nawabganj,125,6862,Mihinpurwa Motipur,derived_village,village_gram_panchayat_mapping.csv
902,Phakharpur,125,920,Mahasi,derived_village,village_gram_panchayat_mapping.csv
902,Phakharpur,125,922,Kaiserganj,derived_village,village_gram_panchayat_mapping.csv
903,Payagpur,125,6861,Payagpur,derived_village,village_gram_panchayat_mapping.csv
904,Risia,125,919,Nanpara,derived_village,village_gram_panchayat_mapping.csv
904,Risia,125,921,Bahraich,derived_village,village_gram_panchayat_mapping.csv
904,Risia,125,6862,Mihinpurwa Motipur,derived_village,village_gram_panchayat_mapping.csv
905,Shivpur,125,919,Nanpara,derived_village,village_gram_panchayat_mapping.csv
905,Shivpur,125,920,Mahasi,derived_village,village_gram_panchayat_mapping.csv
906,Tejwapur,125,920,Mahasi,derived_village,village_gram_panchayat_mapping.csv
906,Tejwapur,125,921,Bahraich,derived_village,village_gram_panchayat_mapping.csv
906,Tejwapur,125,922,Kaiserganj,derived_village,village_gram_panchayat_mapping.csv
907,Visheshwarganj,125,921,Bahraich,derived_village,village_gram_panchayat_mapping.csv
907,Visheshwarganj,125,6861,Payagpur,derived_village,village_gram_panchayat_mapping.csv
908,Bairia,126,978,Ballia,derived_village,village_gram_panchayat_mapping.csv
908,Bairia,126,980,Bairia,derived_village,village_gram_panchayat_mapping.csv
909,Bansdih,126,979,Bansdih,derived_village,village_gram_panchayat_mapping.csv
910,Belhari,126,978,Ballia,derived_village,village_gram_panchayat_mapping.csv
911,Beruarbari,126,979,Bansdih,derived_village,village_gram_panchayat_mapping.csv
912,Chilkahar,126,977,Rasra,derived_village,village_gram_panchayat_mapping.csv
913,Dubhar,126,978,Ballia,derived_village,village_gram_panchayat_mapping.csv
914,Garwar,126,978,Ballia,derived_village,village_gram_panchayat_mapping.csv
915,Hanumanganj,126,978,Ballia,derived_village,village_gram_panchayat_mapping.csv
916,Maniar,126,976,Sikanderpur,derived_village,village_gram_panchayat_mapping.csv
916,Maniar,126,979,Bansdih,derived_village,village_gram_panchayat_mapping.csv
917,Murlichhapra,126,980,Bairia,derived_village,village_gram_panchayat_mapping.csv
918,Nagra,126,975,Belthara Road,derived_village,village_gram_panchayat_mapping.csv
918,Nagra,126,977,Rasra,derived_village,village_gram_panchayat_mapping.csv
919,Navanagar,126,976,Sikanderpur,derived_village,village_gram_panchayat_mapping.csv
920,Pandah,126,976,Sikanderpur,derived_village,village_gram_panchayat_mapping.csv
921,Rasra,126,977,Rasra,derived_village,village_gram_panchayat_mapping.csv
922,Reoti,126,979,Bansdih,derived_village,village_gram_panchayat_mapping.csv
922,Reoti,126,980,Bairia,derived_village,village_gram_panchayat_mapping.csv
923,Siar,126,975,Belthara Road,derived_village,village_gram_panchayat_mapping.csv
924,Sohanv,126,978,Ballia,derived_village,village_gram_panchayat_mapping.csv
925,Balrampur,127,925,Balrampur,derived_village,village_gram_panchayat_mapping.csv
926,Gaindas Bujurg,127,927,Utraula,derived_village,village_gram_panchayat_mapping.csv
927,Gaisri,127,926,Tulsipur,derived_village,village_gram_panchayat_mapping.csv
928,Harriya Satgharwa,127,925,Balrampur,derived_village,village_gram_panchayat_mapping.csv
929,Pachpedwa,127,926,Tulsipur,derived_village,village_gram_panchayat_mapping.csv
930,Rehera Bazaar,127,927,Utraula,derived_village,village_gram_panchayat_mapping.csv
931,Shriduttganj,127,927,Utraula,derived_village,village_gram_panchayat_mapping.csv
932,Tulsipur,127,926,Tulsipur,derived_village,village_gram_panchayat_mapping.csv
933,Utraula,127,927,Utraula,derived_village,village_gram_panchayat_mapping.csv
934,Baberu,128,872,Baberu,derived_village,village_gram_panchayat_mapping.csv
935,Badokhar Khurd,128,871,Banda,derived_village,village_gram_panchayat_mapping.csv
936,Bisanda,128,872,Baberu,derived_village,village_gram_panchayat_mapping.csv
936,Bisanda,128,873,Atarra,derived_village,village_gram_panchayat_mapping.csv
937,Jaspura,128,6157,Pailani,derived_village,village_gram_panchayat_mapping.csv
938,Kamasin,128,872,Baberu,derived_village,village_gram_panchayat_mapping.csv
939,Mahuva,128,873,Atarra,derived_village,village_gram_panchayat_mapping.csv
939,Mahuva,128,874,Naraini,derived_village,village_gram_panchayat_mapping.csv
