district_code,gram_panchayat_code,block_code,resolution
118,272916,808,exact_name
118,272971,808,exact_name
118,42930,808,exact_name
118,42931,808,exact_name
118,42932,808,exact_name
118,42933,808,exact_name
118,42934,808,exact_name
118,42935,808,exact_name
118,42936,808,exact_name
118,42937,808,exact_name
118,42938,808,exact_name
118,42939,808,exact_name
118,42940,808,exact_name
118,42941,808,exact_name
118,42942,808,exact_name
118,42943,808,exact_name
118,42944,808,exact_name
118,42945,808,exact_name
118,42946,808,exact_name
118,42947,808,exact_name
118,42948,808,exact_name
118,42949,808,exact_name
118,42950,808,exact_name
118,42951,808,exact_name
118,42952,808,exact_name
118,42953,808,exact_name
118,42954,808,exact_name
118,42955,808,exact_name
118,42957,808,exact_name
118,42958,808,exact_name
118,42959,808,exact_name
118,42960,808,exact_name
118,42961,808,exact_name
118,42962,808,exact_name
118,42963,808,exact_name
118,42964,808,exact_name
118,42965,808,exact_name
118,42966,808,exact_name
118,42967,808,exact_name
118,42968,808,exact_name
118,241775,809,exact_name
118,241776,809,exact_name
118,241777,809,exact_name
118,265511,809,exact_name
118,265512,809,exact_name
118,265513,809,exact_name
118,265514,809,exact_name
118,265515,809,exact_name
118,265516,809,exact_name
118,42969,809,exact_name
118,42970,809,exact_name
118,42971,809,exact_name
118,42972,809,exact_name
118,42973,809,exact_name
118,42974,809,exact_name
118,42975,809,exact_name
118,42976,809,exact_name
118,42977,809,exact_name
118,42978,809,exact_name
118,42979,809,exact_name
118,42980,809,exact_name
118,42981,809,exact_name
118,42982,809,exact_name
118,42983,809,exact_name
118,42984,809,exact_name
118,42985,809,exact_name
118,42986,809,exact_name
118,42987,809,exact_name
118,42988,809,exact_name
118,42989,809,exact_name
118,42990,809,exact_name
118,42991,809,exact_name
118,42992,809,exact_name
118,42993,809,exact_name
118,42994,809,exact_name
118,42995,809,exact_name
118,42996,809,exact_name
118,42997,809,exact_name
118,42998,809,exact_name
118,42999,809,exact_name
118,43000,809,exact_name
118,43001,809,exact_name
118,43002,809,exact_name
118,43003,809,exact_name
118,43004,809,exact_name
118,43005,809,exact_name
118,43006,809,exact_name
118,43007,809,exact_name
118,43008,809,exact_name
118,43009,809,exact_name
118,43010,809,exact_name
118,43011,809,exact_name
118,43012,809,exact_name
118,43013,809,exact_name
118,43014,809,exact_name
118,43015,809,exact_name
118,43016,809,exact_name
118,43017,809,exact_name
118,43018,809,exact_name
118,43019,809,exact_name
118,43020,809,exact_name
118,43021,809,exact_name
118,43022,809,exact_name
118,43023,809,exact_name
118,43024,809,exact_name
118,43025,809,exact_name
118,43026,809,exact_name
118,43027,809,exact_name
118,43028,809,exact_name
118,43029,809,exact_name
118,265502,810,exact_name
118,265504,810,exact_name
118,265505,810,exact_name
118,268088,810,exact_name
118,43030,810,exact_name
118,43031,810,exact_name
118,43032,810,exact_name
118,43033,810,exact_name
118,43034,810,exact_name
118,43035,810,exact_name
118,43036,810,exact_name
118,43037,810,exact_name
118,43038,810,exact_name
118,43039,810,exact_name
118,43040,810,exact_name
118,43041,810,exact_name
118,43042,810,exact_name
118,43043,810,exact_name
118,43044,810,exact_name
118,43045,810,exact_name
118,43046,810,exact_name
118,43047,810,exact_name
118,43048,810,exact_name
118,43049,810,exact_name
118,43050,810,exact_name
118,43051,810,exact_name
118,43052,810,exact_name
118,43053,810,exact_name
118,43054,810,exact_name
118,43055,810,exact_name
118,43056,810,exact_name
118,43057,810,exact_name
118,43058,810,exact_name
118,43059,810,exact_name
118,43060,810,exact_name
118,43061,810,exact_name
118,43062,810,exact_name
118,43063,810,exact_name
118,43064,810,exact_name
118,43065,810,exact_name
118,43066,810,exact_name
118,43067,810,exact_name
118,43068,810,exact_name
118,43069,810,exact_name
118,43070,810,exact_name
118,43071,810,exact_name
118,43072,810,exact_name
118,43073,810,exact_name
118,43074,810,exact_name
118,43075,810,exact_name
118,43076,810,exact_name
118,43077,810,exact_name
118,43078,810,exact_name
118,43079,810,exact_name
118,43080,810,exact_name
118,43081,810,exact_name
118,241694,811,exact_name
118,265460,811,exact_name
118,265461,811,exact_name
118,265462,811,exact_name
118,265463,811,exact_name
118,43082,811,exact_name
118,43083,811,exact_name
118,43084,811,exact_name
118,43085,811,exact_name
118,43086,811,exact_name
118,43087,811,exact_name
118,43088,811,exact_name
118,43089,811,exact_name
118,43090,811,exact_name
118,43091,811,exact_name
118,43092,811,exact_name
118,43093,811,exact_name
118,43094,811,exact_name
118,43095,811,exact_name
118,43096,811,exact_name
118,43097,811,exact_name
118,43098,811,exact_name
118,43099,811,exact_name
118,43100,811,exact_name
118,43101,811,exact_name
118,43102,811,exact_name
118,43103,811,exact_name
118,43104,811,exact_name
118,43105,811,exact_name
118,43106,811,exact_name
118,43107,811,exact_name
118,43108,811,exact_name
118,265539,812,exact_name
118,265540,812,exact_name
118,265541,812,exact_name
118,265542,812,exact_name
118,43109,812,exact_name
118,43110,812,exact_name
118,43111,812,exact_name
118,43112,812,exact_name
118,43113,812,exact_name
118,43114,812,exact_name
118,43115,812,exact_name
118,43116,812,exact_name
118,43117,812,exact_name
118,43118,812,exact_name
118,43119,812,exact_name
118,43120,812,exact_name
118,43121,812,exact_name
118,43122,812,exact_name
118,43123,812,exact_name
118,43124,812,exact_name
118,43125,812,exact_name
118,43126,812,exact_name
118,43127,812,exact_name
118,43128,812,exact_name
118,43129,812,exact_name
118,43130,812,exact_name
118,43131,812,exact_name
118,43132,812,exact_name
118,43133,812,exact_name
118,43134,812,exact_name
118,43135,812,exact_name
118,43136,812,exact_name
118,43137,812,exact_name
118,43138,812,exact_name
118,43139,812,exact_name
118,43140,812,exact_name
118,43141,812,exact_name
118,43142,812,exact_name
118,43143,812,exact_name
118,43144,812,exact_name
118,43145,812,exact_name
118,43146,812,exact_name
118,43147,812,exact_name
118,43148,812,exact_name
118,43149,812,exact_name
118,241676,813,exact_name
118,267985,813,exact_name
118,268402,813,exact_name
118,268572,813,exact_name
118,43150,813,exact_name
118,43151,813,exact_name
118,43152,813,exact_name
118,43153,813,exact_name
118,43154,813,exact_name
118,43155,813,exact_name
118,43156,813,exact_name
118,43157,813,exact_name
118,43158,813,exact_name
118,43159,813,exact_name
118,43160,813,exact_name
118,43161,813,exact_name
118,43162,813,exact_name
118,43163,813,exact_name
118,43164,813,exact_name
118,43165,813,exact_name
118,43166,813,exact_name
118,43167,813,exact_name
118,43168,813,exact_name
118,43169,813,exact_name
118,43170,813,exact_name
118,43171,813,exact_name
118,43172,813,exact_name
118,43173,813,exact_name
118,43174,813,exact_name
118,43175,813,exact_name
118,43176,813,exact_name
