district_code,district_name,gram_panchayat_code,gram_panchayat_name,prd_block_name,prd_block_code,lgd_block_code,lgd_block_name,resolution
121,AMBEDKAR NAGAR,46059,ASHIPUR,JALAL PUR,1438,855,Jalal Pur,exact_name
121,AMBEDKAR NAGAR,46098,JALALPUR DEHAT,JALAL PUR,1438,855,Jalal Pur,exact_name
121,AMBEDKAR NAGAR,46099,JAMAULI,JALAL PUR,1438,855,Jalal Pur,exact_name
121,AMBEDKAR NAGAR,46152,VAJEEDPUR,JALAL PUR,1438,855,Jalal Pur,exact_name
121,AMBEDKAR NAGAR,270247,CHANDANPUR,RAM NAGAR,1440,857,Ram Nagar,exact_name
121,AMBEDKAR NAGAR,46297,NEWARI DURAJPUR,RAM NAGAR,1440,857,Ram Nagar,exact_name
121,AMBEDKAR NAGAR,271379,MEERANPUR BABHANPURA,TANDA,1441,858,Tanda,exact_name
121,AMBEDKAR NAGAR,46369,JIGNA,TANDA,1441,858,Tanda,exact_name
121,AMBEDKAR NAGAR,46375,KATARIYA,TANDA,1441,858,Tanda,exact_name
154,AMROHA,238570,Aaivzabad,AMROHA,1834,1252,Amroha,exact_name
154,AMROHA,238572,Ahroi,AMROHA,1834,1252,Amroha,exact_name
154,AMROHA,238573,Akbarpur Patti,AMROHA,1834,1252,Amroha,exact_name
154,AMROHA,238591,Daud Sarai,AMROHA,1834,1252,Amroha,exact_name
154,AMROHA,238610,Jalalpur Narayan,AMROHA,1834,1252,Amroha,exact_name
154,AMROHA,238632,Nazarpur Khurd,AMROHA,1834,1252,Amroha,exact_name
154,AMROHA,238633,Panju Sarai,AMROHA,1834,1252,Amroha,exact_name
154,AMROHA,238639,Raipur Kalan,AMROHA,1834,1252,Amroha,exact_name
154,AMROHA,238640,Rajjakpur,AMROHA,1834,1252,Amroha,exact_name
154,AMROHA,238902,Sabdalpur Sharki,HASANPUR,1838,1256,Hasanpur,exact_name
154,AMROHA,238903,Said Nagli,HASANPUR,1838,1256,Hasanpur,exact_name
154,AMROHA,265204,Mehdipur,HASANPUR,1838,1256,Hasanpur,exact_name
154,AMROHA,265778,Ikonda,HASANPUR,1838,1256,Hasanpur,exact_name
154,AMROHA,238919,Amroha Dehat,JOYA,1839,1257,Joya,exact_name
154,AMROHA,238943,Durgpur,JOYA,1839,1257,Joya,exact_name
154,AMROHA,238950,Guleriya,JOYA,1839,1257,Joya,exact_name
154,AMROHA,238984,Meera Sarai,JOYA,1839,1257,Joya,exact_name
154,AMROHA,238993,Pachokara Meharban Ali,JOYA,1839,1257,Joya,exact_name
154,AMROHA,238996,Pandki,JOYA,1839,1257,Joya,exact_name
154,AMROHA,239003,Raipur Khurd,JOYA,1839,1257,Joya,exact_name
154,AMROHA,239006,Rampur Ghana,JOYA,1839,1257,Joya,exact_name
154,AMROHA,239027,Umarpur,JOYA,1839,1257,Joya,exact_name
154,AMROHA,264075,KHALAKPUR KHURD,JOYA,1839,1257,Joya,exact_name
154,AMROHA,264751,HUSSAINPUR NEAR MAALIKHERA,JOYA,1839,1257,Joya,exact_name
154,AMROHA,265737,Masoodpur Nawada,JOYA,1839,1257,Joya,exact_name
140,AYODHYA,60839,AKMA,AMANIGANJ,1668,1086,Amaniganj,exact_name
140,AYODHYA,60846,BAVAN,AMANIGANJ,1668,1086,Amaniganj,exact_name
140,AYODHYA,60891,PITHLA,AMANIGANJ,1668,1086,Amaniganj,exact_name
140,AYODHYA,267669,abbusaray,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,267727,VINAYAKPUR,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,267784,PUREHUSAIN KHAN,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,267791,SAMSUDDINPUR,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61026,BANVEERPUR,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61028,BHADARSA  BAHAR,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61032,CHANDPUR HARVANSH,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61035,DABHA SAMER,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61036,DOST PUR,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61040,GADDOO PUR,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61041,GANJA,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61045,HANSA PUR,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61049,JANAURA,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61051,KAIL,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61052,KALLYAN PUR BHADRASSA,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61055,KHOJANPUR,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61061,MALIKPUR,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61063,MAU YADUVANSPUR,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61064,MIRZAPUR MAFI,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61065,MIRZAPUR NIMAULI,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61068,NAIPURA,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61069,NANDI GRAM,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61070,PAHARGANJ,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61073,PALYA SHAHVADI,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61075,PIPRI,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61079,RAJAPUR MAFI,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,61090,USRU,MASODHA,1671,1089,Masodha,exact_name
140,AYODHYA,52103,BIHARA,Mawai,1672,1090,Mawai,exact_name
140,AYODHYA,52140,SEDPUR,Mawai,1672,1090,Mawai,exact_name
140,AYODHYA,52141,SEMSI,Mawai,1672,1090,Mawai,exact_name
140,AYODHYA,52146,SUNWA,Mawai,1672,1090,Mawai,exact_name
140,AYODHYA,61221,SHIVNATH PUR,MILKIPUR,1674,1092,Milkipur,exact_name
140,AYODHYA,269337,HAIBATPUR,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,269352,ASIFBAG,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61236,ASHAPUR,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61238,MAJHA BARETHA,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61241,BHIKHAPUR,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61245,DEVKALI,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61257,KUDHAKESHAVPUR,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61258,KUSMAHA,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61261,MAKHAKHAPUR,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61275,RANOPAALI,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61279,SAHINAWA,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61286,SHAHJAHANPUR,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61287,SHAHNEVAJPUR,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,61292,TAKPURA,PURA BAZAR,1675,1093,Pura Bazar,exact_name
140,AYODHYA,52369,GOGAVA,RUDAULI,1536,954,Rudauli,exact_name
140,AYODHYA,52377,JALALPUR,RUDAULI,1536,954,Rudauli,exact_name
140,AYODHYA,52383,KARIMPUR,RUDAULI,1536,954,Rudauli,exact_name
140,AYODHYA,52384,KHAIRANPUR,RUDAULI,1536,954,Rudauli,exact_name
140,AYODHYA,52403,MOHMIDPUR,RUDAULI,1536,954,Rudauli,exact_name
140,AYODHYA,52417,SARAI HAMID,RUDAULI,1536,954,Rudauli,exact_name
140,AYODHYA,52421,SARAIPEER,RUDAULI,1536,954,Rudauli,exact_name
140,AYODHYA,52429,TIKAR,RUDAULI,1536,954,Rudauli,exact_name
140,AYODHYA,269574,SOHAWAL,SOHAWAL,1676,1094,Sohawal,exact_name
140,AYODHYA,269619,UCHITPUR,SOHAWAL,1676,1094,Sohawal,exact_name
140,AYODHYA,61317,KATRAULI,SOHAWAL,1676,1094,Sohawal,exact_name
140,AYODHYA,61318,KHIRAUNI,SOHAWAL,1676,1094,Sohawal,exact_name
140,AYODHYA,61337,SALHEPUR NIMAICHA,SOHAWAL,1676,1094,Sohawal,exact_name
140,AYODHYA,61339,SARA BISHUNPUR,SOHAWAL,1676,1094,Sohawal,exact_name
123,AZAMGARH,47035,JAMIN MEGHAI,AZMATGARH,1451,868,Azmatgarh,exact_name
123,AZAMGARH,47056,MASONA,AZMATGARH,1451,868,Azmatgarh,exact_name
123,AZAMGARH,271974,PATI BUJURG,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,271975,BASHIRPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,271980,JAMIN PADARI,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,271981,SAHABUDDINPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47085,AKABARPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47087,ALAUDDIN PATTI,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47089,ANDA KHOR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47092,BAGWAR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47095,BARIHARI,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47101,BHAGATPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47107,BILARIYA GANJ  DEHAT,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47110,CHHICHHORI,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47111,CHHIHI,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47112,DEORIA JAPTIMAFI,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47116,DORJI DHAVRAHARA,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47121,GADDOPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47125,GULWA GAURI,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47127,HARIPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47128,HENGAIPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47130,ISMAILPUR GORIA,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47131,JAGMALPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47132,JALALPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47140,KAKRAHI DULAR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47143,KHALISH PUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47148,MADHNAPAR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47155,MOHAMMADPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47157,MOHIUDDINPUR II,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47158,NASIRPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47162,PADARI PARAN PUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47169,PIPRAHA DULIYAWAR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47173,SEKHUPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47174,SHANTI BASHEERPUR,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47177,TENDUWA,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,47180,TURK PADARI,BILARIYAGANJ,1452,869,Bilariyaganj,exact_name
123,AZAMGARH,270615,CHAK SAH DARIYA,JAHANAGANJ,1454,871,Jahanaganj,exact_name
123,AZAMGARH,47265,BARAHATIR JAGDISHPUR,JAHANAGANJ,1454,871,Jahanaganj,exact_name
123,AZAMGARH,47298,MUSTAFABAD,JAHANAGANJ,1454,871,Jahanaganj,exact_name
123,AZAMGARH,47307,RAMPUR,JAHANAGANJ,1454,871,Jahanaganj,exact_name
123,AZAMGARH,47334,BHILAMPUR CHHAPARA,KOILSA,1455,872,Koilsa,exact_name
123,AZAMGARH,47337,BURHANPUR,KOILSA,1455,872,Koilsa,exact_name
123,AZAMGARH,47351,ISHWARPUR PAWNI,KOILSA,1455,872,Koilsa,exact_name
123,AZAMGARH,47360,KOILSA,KOILSA,1455,872,Koilsa,exact_name
123,AZAMGARH,47376,RAIPUR KHURASIN,KOILSA,1455,872,Koilsa,exact_name
123,AZAMGARH,47379,RANIPUR,KOILSA,1455,872,Koilsa,exact_name
123,AZAMGARH,47384,SHERWA,KOILSA,1455,872,Koilsa,exact_name
123,AZAMGARH,47390,USHUR KURHWA,KOILSA,1455,872,Koilsa,exact_name
123,AZAMGARH,272103,TIKAR GADH,LALGANJ,1456,873,Lalganj,exact_name
123,AZAMGARH,47412,CHAKIA BHAGWANPUR,LALGANJ,1456,873,Lalganj,exact_name
123,AZAMGARH,47444,MASERPUR,LALGANJ,1456,873,Lalganj,exact_name
123,AZAMGARH,47460,RETWA CHANDRA BHANPUR,LALGANJ,1456,873,Lalganj,exact_name
123,AZAMGARH,267739,ACHAIWAT,MAHRAJGANJ,1457,874,Mahrajganj,exact_name
123,AZAMGARH,47538,PARTAPPUR,MAHRAJGANJ,1457,874,Mahrajganj,exact_name
123,AZAMGARH,265405,Dariyapur,MARTINGANJ,1458,875,Martinganj,exact_name
123,AZAMGARH,47555,BANGAON,MARTINGANJ,1458,875,Martinganj,exact_name
123,AZAMGARH,47560,BELWANA,MARTINGANJ,1458,875,Martinganj,exact_name
123,AZAMGARH,47577,KAVRA GAHANI,MARTINGANJ,1458,875,Martinganj,exact_name
123,AZAMGARH,47591,MAHUJA NEWADA,MARTINGANJ,1458,875,Martinganj,exact_name
123,AZAMGARH,47594,NIKASIPUR,MARTINGANJ,1458,875,Martinganj,exact_name
123,AZAMGARH,47611,SURHAN,MARTINGANJ,1458,875,Martinganj,exact_name
124,BAGHPAT,48680,RATAUL,KHEKRA,1475,892,Khekra,exact_name
125,BAHRAICH,49000,AINY HATINSI,KAISARGANJ,1481,898,Kaisarganj,exact_name
125,BAHRAICH,49013,CHAK PIHANI,KAISARGANJ,1481,898,Kaisarganj,exact_name
125,BAHRAICH,49019,DIHAWA SHER BAHADUR SINGH,KAISARGANJ,1481,898,Kaisarganj,exact_name
125,BAHRAICH,49044,NAUGOHIA,KAISARGANJ,1481,898,Kaisarganj,exact_name
125,BAHRAICH,49048,PAWANA,KAISARGANJ,1481,898,Kaisarganj,exact_name
125,BAHRAICH,49051,RUKANAPUR KALAN,KAISARGANJ,1481,898,Kaisarganj,exact_name
125,BAHRAICH,49175,MIHI PURWA,MIHINPURWA,1483,900,Mihinpurwa,exact_name
125,BAHRAICH,266572,GOKULPUR,NAWABGANJ,1484,901,Nawabganj,exact_name
125,BAHRAICH,49224,KEVALPUR,NAWABGANJ,1484,901,Nawabganj,exact_name
125,BAHRAICH,49236,PANCHPAKARI,NAWABGANJ,1484,901,Nawabganj,exact_name
125,BAHRAICH,49360,NOOR PUR,PRAYAGPUR,1486,903,Payagpur,explicit_alias
125,BAHRAICH,49369,PAYAG PUR,PRAYAGPUR,1486,903,Payagpur,explicit_alias
125,BAHRAICH,49375,SACHAULI,PRAYAGPUR,1486,903,Payagpur,explicit_alias
126,BALLIA,272597,CHAK MANIYA,GARWAR,1497,914,Garwar,exact_name
126,BALLIA,49912,CHHATAWA,GARWAR,1497,914,Garwar,exact_name
126,BALLIA,49923,JIGNI JIGANHARA,GARWAR,1497,914,Garwar,exact_name
126,BALLIA,49944,RATSARH KHURD,GARWAR,1497,914,Garwar,exact_name
126,BALLIA,49945,RATSHAR KALAN,GARWAR,1497,914,Garwar,exact_name
126,BALLIA,272642,BHANDARI,NAGRA,1501,918,Nagra,exact_name
126,BALLIA,50093,CACHIYA,NAGRA,1501,918,Nagra,exact_name
126,BALLIA,50130,NAGRA,NAGRA,1501,918,Nagra,exact_name
127,BALRAMPUR,50631,GAINSARI,GAISRI,1510,927,Gaisri,exact_name
127,BALRAMPUR,50650,KHADGAURA,GAISRI,1510,927,Gaisri,exact_name
127,BALRAMPUR,50657,LATTHAWAR,GAISRI,1510,927,Gaisri,exact_name
127,BALRAMPUR,50665,MAJHAULI,GAISRI,1510,927,Gaisri,exact_name
127,BALRAMPUR,50691,SATHI,GAISRI,1510,927,Gaisri,exact_name
127,BALRAMPUR,50795,BARGADWA SAIF,PACHPEDWA,1512,929,Pachpedwa,exact_name
127,BALRAMPUR,50857,SISHANIA BARGADHI,PACHPEDWA,1512,929,Pachpedwa,exact_name
127,BALRAMPUR,51007,DAVIPATAN,TULSIPUR,1515,932,Tulsipur,exact_name
128,BANDA,51388,BARUWA SEODHA,MAHUVA,1522,939,Mahuva,exact_name
130,BAREILLY,268109,ABADANPUR,MAJHGAWAN,1551,969,Majhgawan,exact_name
130,BAREILLY,53375,BEHTA JANU,MAJHGAWAN,1551,969,Majhgawan,exact_name
130,BAREILLY,53416,NAGARIA SATAN,MAJHGAWAN,1551,969,Majhgawan,exact_name
130,BAREILLY,268537,YAKOOBPUR,NAWABGANJ,1553,971,Nawabganj,exact_name
130,BAREILLY,53503,BAHORE NAGLA,NAWABGANJ,1553,971,Nawabganj,exact_name
131,BASTI,53720,BIRU PUR,BAHADURPUR,1556,974,Bahadurpur,exact_name
131,BASTI,53724,DEVAPAR,BAHADURPUR,1556,974,Bahadurpur,exact_name
131,BASTI,53731,HARNAKHA,BAHADURPUR,1556,974,Bahadurpur,exact_name
131,BASTI,53757,NAGAR KHAS,BAHADURPUR,1556,974,Bahadurpur,exact_name
131,BASTI,53764,PHULVARIA BARGAH,BAHADURPUR,1556,974,Bahadurpur,exact_name
131,BASTI,53788,BARDAND,BANKATI,1557,975,Bankati,exact_name
131,BASTI,53798,BODAWAL,BANKATI,1557,975,Bankati,exact_name
