local_body_code,district_code,district_name,source
249072,118,Agra,PMAY-Urban List of ULB
249073,118,Agra,PMAY-Urban List of ULB
249074,118,Agra,PMAY-Urban List of ULB
249075,143,Firozabad,PMAY-Urban List of ULB
249079,143,Firozabad,PMAY-Urban List of ULB
249080,143,Firozabad,PMAY-Urban List of ULB
249081,143,Firozabad,PMAY-Urban List of ULB
249082,143,Firozabad,PMAY-Urban List of ULB
249083,143,Firozabad,PMAY-Urban List of ULB
249084,633,Kasganj,PMAY-Urban List of ULB
249085,633,Kasganj,PMAY-Urban List of ULB
249086,633,Kasganj,PMAY-Urban List of ULB
249087,633,Kasganj,PMAY-Urban List of ULB
249088,633,Kasganj,PMAY-Urban List of ULB
249089,633,Kasganj,PMAY-Urban List of ULB
249090,633,Kasganj,PMAY-Urban List of ULB
249091,633,Kasganj,PMAY-Urban List of ULB
249092,633,Kasganj,PMAY-Urban List of ULB
249093,633,Kasganj,PMAY-Urban List of ULB
249094,138,Etah,PMAY-Urban List of ULB
249095,138,Etah,PMAY-Urban List of ULB
249096,138,Etah,PMAY-Urban List of ULB
249097,138,Etah,PMAY-Urban List of ULB
249098,138,Etah,PMAY-Urban List of ULB
249099,138,Etah,PMAY-Urban List of ULB
249100,138,Etah,PMAY-Urban List of ULB
249101,138,Etah,PMAY-Urban List of ULB
249102,138,Etah,PMAY-Urban List of ULB
249103,166,Mainpuri,PMAY-Urban List of ULB
249104,166,Mainpuri,PMAY-Urban List of ULB
249105,166,Mainpuri,PMAY-Urban List of ULB
249106,166,Mainpuri,PMAY-Urban List of ULB
249107,166,Mainpuri,PMAY-Urban List of ULB
249108,166,Mainpuri,PMAY-Urban List of ULB
249109,166,Mainpuri,PMAY-Urban List of ULB
249110,166,Mainpuri,PMAY-Urban List of ULB
249111,166,Mainpuri,PMAY-Urban List of ULB
249112,659,Sambhal,PMAY-Urban List of ULB
249114,659,Sambhal,PMAY-Urban List of ULB
249115,133,Budaun,PMAY-Urban List of ULB
