gram_panchayat_code,gram_panchayat_name,district_code,parent_kp_code
88840,Nibi,182,2130
73843,Nibuwa Bogh,159,1887
54855,Nichalpur,132,1571
50133,Nigahua,126,1501
93525,Nihalapur,187,2204
268582,Nijampur,166,1943
46031,Nijampur Ratigarpur,121,1437
92444,Nimad Pur,186,2189
92445,Nindemau,186,2189
63980,Nindopur,146,1721
73492,Nipania,159,1882
62036,Nirkhi,142,1686
91341,Nisura,640,2169
81781,Niwar Aithpur (Mustqil),173,2021
268076,Niwauwa,161,1906
54732,Niyamatpur,131,1569
273834,Nkha Dharm Nagar,181,2114
76594,Nksha Badsha,164,1931
268420,Noorpur Dehat Urf Theri,132,1580
242964,Noorpur Narsuiya,180,2108
297320,Nooruddinpur Urf Ganj,171,1998
92561,Nurulla Nagar,186,2191
268370,Oadwaliya,164,1936
73158,Oeal Dehat,159,1877
79575,Oinawa,170,1984
49874,Ojhawalia,126,1496
57716,Orawan,135,1616
90705,Orgai (P),184,2158
90706,Organai (T),184,2158
73581,Osri,159,1883
86294,Pachadeori,178,2091
63858,Pachauri,146,1719
270037,Pachmohani,182,2123
63220,Pachokhara,143,1706
51551,Padarathpur,128,1524
54582,Padari,131,1567
79787,Padra Hanuman,170,1988
78259,Padrari,167,1960
77029,Padri Urf Meerganj,164,1937
47920,Pagra,123,1463
87320,Pahadpur Pipriya,180,2108
73227,Paharapur,159,1878
266913,Paharapur,159,1877
84445,Paharpur,176,2066
46299,Paharpur Sultanpur,121,1440
64743,Pahdaria,146,1732
89535,Paidapur,183,2140
44348,Paigamberpur,120,1414
57651,Paikusi,135,1615
87321,Pailani Uttar,180,2108
266245,Paitua,135,1618
88407,Pakari,182,2124
88786,Pakari,182,2129
90709,Pakari,184,2158
74707,Pakari Bangar,160,1900
54583,Pakari Bhikhi,131,1567
274168,Pakari Jyi,131,1568
89407,Pakariya,183,2138
268514,Pakdi Khurd,164,1930
91599,Pakhan Pur,185,2173
49938,Pakka Kot,126,1497
74245,Pakri,160,1893
76524,Pakri Nauniya,164,1930
80289,Palanpur,171,1998
81376,Paldi,172,2013
53762,Palha,131,1556
51490,Palharei,128,1523
64248,Pali,146,1725
91826,Palia Chandapur,640,2177
67939,Palia Kiratpur,150,1784
48074,Palthi,123,1465
73934,Panai,159,1888
53688,Pandari,130,1555
273738,Pandaypur Milki,135,1619
271995,Pandey Chawar,123,1452
53254,Pandhera,130,1548
86994,Panthi,180,2100
53308,Panvaria Mustakil,130,1549
46915,Para Mishrauli,123,1449
86407,Paranapur,179,2093
45598,Paranipur Uparhar,120,1432
82436,Paranu Pur,174,2029
76600,Parasa Shihuli,164,1931
86219,Parasa Shukl,178,2090
86697,Parashurampur N. Umarao,179,2096
272300,Parasiya,164,1928
87955,Paraspur,182,2118
47536,Parasrampur,123,1457
54369,Parasrampur,131,1564
83138,Parasrampur,174,2040
47304,Parasupur,123,1454
272346,Parauli,148,1758
86800,Paraupur,179,2092
74044,Parauri,159,1890
88958,Parewa Dhenapur,183,2132
75240,Parol,161,1908
88332,Parsa,182,2123
88573,Parsa,182,2126
266249,Parsamanpur,123,1457
83077,Parsani,174,2039
54287,Parsav,131,1563
73849,Parseya,159,1887
90714,Parshauti,184,2158
82760,Parsipur,174,2034
270164,Parsipur,185,2175
267023,Parsiya,125,1490
88846,Parsohiya Nankar,182,2130
53125,Parsona,130,1546
47066,Parsottampur Urf Kaithauli,123,1451
86512,Parsottampur Z.Bargaon,179,2094
78472,Parsupur Mubarakpur,168,1963
77617,Partappur,166,1947
74315,Partawal,160,1894
81022,Pasia Pura Padarath,171,2006
63586,Paswada,661,1713
50922,Patakpur,127,1513
90716,Patehara,184,297517
50045,Path Kholi Poorab,126,1499
87750,Patijhiya,181,2115
87187,Patiyari,180,2104
67125,Patkhauli,148,1769
88632,Patkhauli,182,2127
273921,Patkhauli,182,2124
49999,Patkhouli,126,1498
75241,Patna Madawara,161,1908
83334,Patti Kachehra,174,2043
90359,Patwdh,184,2153
60333,Pawal Dhaira,633,1658
47849,Pawani Kala,123,1462
45079,Payagpur Ram Gharwa,120,1424
68193,Peerpur,150,1789
90718,Petrahi,184,2158
48215,Phakhruddinpur,123,1467
46517,Phoolpur,122,1443
57721,Phoolpur,135,1616
63985,Phrarpurkala,146,1721
54370,Pikaura Bhat,131,1564
274127,Pilakhtar Jait,143,1699
48451,Pilakhuwa,123,1470
49705,Pindhara,126,1492
91043,Pindoriya,640,2164
243005,Pipal Sana Choudhri,130,1544
86411,Pipar Gaon,179,2093
274066,Pipara,182,2119
54588,Pipara Japti,131,1567
67002,Piparahema,148,1767
45194,Piparaon,120,1426
87278,Piparia Birsinghpur,180,2106
73231,Pipariadhani,159,1878
76906,Pipariya,164,1935
74550,Piparpati,160,1898
74254,Pipra,160,1893
74489,Pipra,160,1897
274057,Pipra,182,2120
77034,Pipra Bazar,164,1937
74930,Pipra Kanak,160,1903
74318,Pipra Mafi,160,1894
53744,Pipraula,131,1556
73938,Pipraula Kunwarpur,159,1888
52623,Pipri,129,1539
90896,Pipri,185,2161
73164,Pipri Kalan,159,1877
82271,Pipriya Dulai,173,2027
266817,Pithapur,146,1722
273711,Pithapur,135,1623
53985,Pithiya Lashkari,131,1559
267695,Pitura,131,1564
54591,Pokhar Bhitwa,131,1567
88890,Pokharbhitwa,182,2131
54225,Pokhra,131,1562
56975,Pondari,134,1603
86700,Poore Bhan,179,2096
86701,Poore Gareriya,179,2096
269113,Popeya,178,2086
50290,Pradhanpur,126,1504
57953,Prakash Pur Mahura,135,1619
49943,Pranpur,126,1497
74003,Pratappur,159,1889
79869,Pratappur,170,1989
87150,Prathvipur Kuberpur,180,2103
64760,Prithvipur,146,1733
238638,Prithvipur Khurd,154,1834
78016,Pura,167,1955
70419,Pura Baghaila,152,1822
55283,Puraeni,132,1576
58057,Puraini,135,1621
90306,Puranakalan,184,2152
47601,Purandarpur,123,1458
88489,Puranjot,182,2125
49741,Puras,126,1493
267201,Pure Bharat,174,2042
83273,Pure Parmeshwar,174,2042
91833,Pure Parwani,640,2177
