tehsil_code,tehsil_name,district_code
935,Itwa,182
933,Naugarh,182
932,Shohratgarh,182
806,Biswan,183
805,Laharpur,183
807,Mahmudabad,183
6880,Maholi,183
803,Misrikh,183
808,Sidhauli,183
804,Sitapur,183
1006,Dudhi,184
1004,Ghorawal,184
7127,Obra,184
1005,Robertsganj,184
6868,Baldirai,185
916,Jaisinghpur,185
918,Kadipur,185
917,Lambhua,185
915,Sultanpur,185
6160,Bangarmau,186
818,Bighapur,186
815,Hasanganj,186
817,Purwa,186
814,Safipur,186
816,Unnao,186
995,Pindra,187
6093,Rajatalab,187
996,Varanasi Sadar,187
1010,Kasganj,633
1012,Patiyali,633
1011,Sahawar,633
914,Amethi,640
913,Gauriganj,640
912,Musafirkhana,640
824,Tiloi,640
722,Chandausi,659
778,Gunnaur,659
721,Sambhal,659
706,Kairana,660
707,Shamli,660
6159,Un,660
6032,Dhaulana,661
741,Garhmukteshwar,661
740,Hapur,661
