village_code,village_name,district_code,tehsil_code
125291,Chousingi,118,770
124529,Chuharpur,118,765
124708,Churiyari,118,767
124724,Dabar,118,767
125036,Dabari,118,769
124701,Dadukara,118,767
124736,Dadupura,118,767
125300,Dagroopura,118,770
124906,Dahgawan,118,768
124922,Danda,118,768
124969,Dankasa,118,768
125016,Darki,118,768
124714,Daudpur,118,767
125069,Dauki,118,769
124756,Daultabad,118,767
124846,Davli,118,767
125281,Deenpura,118,770
124690,Dehtora (Ct),118,766
124744,Deonari,118,767
124777,Deorentha,118,767
124693,Deoretha (Ct),118,766
124642,Deori,118,766
125275,Derak,118,770
125343,Devpura,118,770
124892,Devri,118,768
940829,Dhadhupura Chungi Andar,118,766
124688,Dhamota,118,766
125093,Dhanaula Kalan,118,769
125181,Dhanaula Khurd,118,769
124698,Dhanauli (Ct),118,766
124470,Dhangraoli (A.H.),118,765
124469,Dhangrauli Must,118,765
124890,Dhanina,118,768
125332,Dhaniyapura,118,770
124834,Dhanoli,118,767
124562,Dharera,118,765
125379,Dharmasala,118,770
124505,Dhaurra,118,765
125122,Dhaurra,118,769
125357,Dhaypura,118,770
125099,Dhimsiri,118,769
125273,Dhobai,118,770
124500,Dhorau,118,765
124775,Didhwar,118,767
124648,Digner,118,766
124948,Digrauta,118,768
125289,Dodapura,118,770
124774,Doora,118,767
124742,Dulhara,118,767
124931,Dungarwala,118,768
125271,Emanpura,118,770
125089,Etmadpur Ajnera,118,769
124673,Etmadpur Madra,118,766
940855,Etmaudaulla,118,765
125159,Fatehabad Rural,118,769
125369,Fatehpura,118,770
124787,Fatehpura,118,767
125360,Gadhbar,118,770
125047,Gadhi Shripati,118,769
125395,Gadhia Pratappura,118,770
125033,Gadoli Kalan,118,769
125034,Gadoli Khurd,118,769
124509,Gadpura,118,765
124867,Gahara Kalan,118,767
124868,Gahara Khurd,118,767
940830,Gailana Ehatmali,118,766
940831,Gailana Mushatkil,118,766
124471,Gajauli (A.H.),118,765
125222,Gajoura,118,770
125290,Gajrora,118,770
124609,Gamari,118,766
125127,Gangaura,118,769
124643,Gangraua,118,766
124999,Garhi Ahir,118,768
125362,Garhi Baroli,118,770
124832,Garhi Chandraman,118,767
125125,Garhi Dariyab,118,769
124875,Garhi Karimpur,118,768
124560,Garhi Pirthi,118,765
125129,Garhi Udairaj,118,769
124557,Garhibachchi,118,765
124783,Garhima,118,767
124596,Garhsani,118,766
124994,Garsan,118,768
125028,Gauharpur,118,769
125101,Ghaghpura,118,769
124873,Ghaskata,118,768
940833,Ghatwashan Ehatmali,118,766
940832,Ghatwashan Mushatkil,118,766
124703,Ghiloy,118,767
124712,Ghoroli,118,767
124923,Ghusiana,118,768
125121,Gidron,118,769
124468,Gijauli Must,118,765
124781,Gobra,118,767
125010,Goharra,118,768
125338,Gohra,118,770
125318,Gonsili,118,770
125246,Gopal Pura,118,770
940834,Gopalpura,118,766
124835,Gopau,118,767
124949,Gorau,118,768
124751,Gothara,118,767
125087,Gubrari,118,769
125160,Gubrauth,118,769
124870,Gugawand,118,768
124741,Gujarpura,118,767
124891,Gulabganj,118,768
125307,Gungawali,118,770
124737,Gur Ki Mandi,118,767
125320,Gurha,118,770
124501,Gurha,118,765
125067,Gurha,118,769
124841,Gurha,118,767
124639,Gutla,118,766
125301,Hajarpura,118,770
124779,Hansela,118,767
124743,Hanspura,118,767
124519,Hasan Jahanpur,118,765
124497,Hasanpur,118,765
124515,Hasnabad,118,765
125389,Hatkant,118,770
124465,Hazipur Khera,118,765
125116,Himayunpur Edoin,118,769
125088,Himayunpur Rohai,118,769
125269,Hingot Khera,118,770
124662,Hingot Kheria,118,766
125051,Hirner Newadakhera,118,769
124991,Hironda,118,768
125252,Holy Pura,118,770
125172,Humayonpur Gujar,118,769
125227,Husainpura,118,770
124863,Ikram Nagar,118,767
124663,Ikthara,118,766
124747,Imlabada,118,767
125049,Inayatpur,118,769
125117,Indon,118,769
125292,Indraini,118,770
125009,Iradat Nagar,118,768
125038,Isauli,118,769
124656,Islampur,118,766
125251,Itaili,118,770
124628,Itaura,118,766
124521,Jaganpur,118,765
940835,Jaganpur Ehatmali,118,766
940836,Jaganpur Mushatkil,118,766
124894,Jagner,118,768
125110,Jagraj Pura,118,769
124730,Jahanpur,118,767
124856,Jain Gara,118,767
125234,Jaitpur Khurd,118,770
125371,Jaitpura Kalan,118,770
124984,Jajau,118,768
124767,Jajau,118,767
124720,Jajauli,118,767
124823,Jakha,118,767
124605,Jakhoda,118,766
125170,Jalalpur,118,769
124893,Jalalpur,118,768
124510,Jamalnagar Bhains,118,765
124530,Jamnipur,118,765
124511,Jampur,118,765
124684,Janara,118,766
124814,Janutha,118,767
125279,Jarar,118,770
125161,Jarari,118,769
125075,Jarauli,118,769
124613,Jarua Katra,118,766
125140,Jatpura,118,769
124585,Jaupura,118,766
124727,Jautana,118,767
125134,Jawaharpur,118,769
124825,Jharothi,118,767
124918,Jheetpura,118,768
124851,Jitora,118,767
940837,Jogipura,118,766
125336,Jojalipura,118,770
